Blog	new	my	we	is	it	in	for	was	by	can	so	not	that	and	s	on	of	or	with	as	at	you	all	more	a	are	some	t	be	an	from	this	have	i	about	but
Schneier on Security	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0
PaulStamatiou.com - Technology, Design and Photography	0	21	1	5	12	13	9	6	5	2	3	2	9	36	8	16	19	3	17	8	5	2	3	4	33	3	6	5	6	6	4	13	1	43	5	5
Search Engine Roundtable	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	0	0	0	0	0	0	1	0	1	2	5	1	1	2	1	1	0	0	5	0	1	2	0	0	0	0	2	1	0	0	0	0	0
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0
Engadget RSS Feed	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
TMZ.com	0	0	0	1	0	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Signal v. Noise	0	0	0	4	3	5	4	1	1	4	2	2	5	8	5	0	5	1	5	0	0	13	2	1	5	0	1	2	4	1	3	0	1	1	1	1
A Consuming Experience (full feed)	5	2	0	0	5	2	2	0	2	0	1	2	1	3	5	2	2	2	2	0	0	4	1	1	4	0	0	1	2	0	0	1	1	0	0	1
Latest from Crooks and Liars	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	3	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0
mezzoblue	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
Eschaton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ShoeMoney	0	0	2	1	1	0	1	1	0	0	0	1	4	2	0	0	2	0	1	1	1	1	1	0	2	0	1	3	0	0	0	0	5	8	0	1
Slashdot	0	0	0	3	1	1	2	0	1	0	0	1	2	2	6	1	2	0	1	5	1	0	0	3	9	0	2	1	0	3	0	2	0	0	0	1
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	0	2	0	0	4	0	0	3	0	0	0	0	0	0	0	0	2	2	0
Gothamist	0	0	0	1	0	2	1	0	0	1	0	0	0	3	2	3	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
we make money not art	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BuzzMachine	0	0	0	0	1	0	1	1	0	0	2	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	7	0	0
The Huffington Post | The Full Feed	0	1	2	4	6	14	1	6	2	0	1	2	1	10	4	6	8	2	1	2	4	1	2	0	14	2	0	1	3	0	3	6	2	4	3	4
PerezHilton	0	0	0	0	1	3	1	1	0	0	0	0	0	3	1	1	2	0	0	0	2	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0
Joho the Blog	0	0	0	1	1	0	2	0	0	1	2	0	2	2	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ongoing by Tim Bray	0	0	0	2	0	2	1	0	1	0	0	0	0	4	2	1	0	1	1	0	0	1	1	0	4	1	1	2	1	1	1	2	0	0	0	0
The Viral Garden	1	5	2	7	7	16	10	8	3	3	4	2	18	24	6	6	10	2	4	1	6	6	2	1	21	8	2	12	5	7	6	15	2	40	3	5
SpikedHumor - Today's Videos and Pictures	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
456 Berea Street	0	0	1	0	0	4	1	0	0	1	0	0	5	3	1	2	2	1	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	2	0	1
Joel on Software	6	0	47	15	9	17	13	6	4	5	15	6	24	43	6	11	40	8	14	7	5	12	7	5	33	13	3	9	7	4	3	5	14	5	5	6
Techdirt.	2	0	6	0	7	12	3	10	4	1	2	0	9	12	3	3	13	0	6	2	3	0	3	0	10	0	3	1	2	1	2	5	0	1	1	1
Boing Boing	0	0	1	2	0	1	3	0	0	0	0	1	1	2	1	0	3	0	0	0	0	5	2	2	1	0	0	1	0	0	2	3	1	0	0	0
flagrantdisregard	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pharyngula	0	0	1	0	2	0	0	0	0	0	0	0	1	3	4	2	3	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
Search Engine Watch	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
WIL WHEATON dot NET	0	0	0	2	1	0	2	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	5	0	0
Online Marketing Report	2	3	0	0	6	1	2	0	1	2	3	4	3	4	4	5	5	0	2	3	0	7	0	2	11	0	1	0	0	1	0	1	1	7	2	1
Creating Passionate Users	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	1	1	0	0	1	0
Bloggers Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Scobleizer	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	5	1	1	0	0	3	1	0	0	0	0	1	1	0	0	0	0	1	7	0	1
Derek Powazek	0	0	0	0	1	1	1	0	0	0	1	0	1	0	2	0	2	0	1	0	0	3	0	0	3	0	0	2	1	0	0	1	0	3	0	1
Jeremy Zawodny's blog	3	2	1	3	2	1	0	0	0	1	2	2	5	6	3	1	3	1	1	0	1	2	0	2	5	0	2	1	0	0	1	1	3	9	0	2
@ProBlogger	3	0	2	1	0	3	0	0	0	0	0	0	0	0	4	1	2	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
Captain's Quarters	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
plasticbag.org	0	0	1	0	2	1	0	0	1	0	0	0	1	2	0	4	1	0	0	1	0	0	0	3	0	2	0	1	0	0	0	0	1	3	3	1
Hot Air  Top Picks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ThinkProgress	0	0	0	0	1	0	1	2	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0
blog maverick	0	2	0	0	1	1	0	1	1	0	0	1	0	1	0	2	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
Steve Pavlina's Personal Development Blog	0	1	1	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	6	1	0	0	1	0	0	0	0	4	0	0
Topix Blog	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kottke.org	0	0	0	3	0	6	1	0	2	0	0	0	1	5	2	1	4	0	2	0	0	0	1	0	4	0	0	0	0	0	1	0	0	1	1	0
43 Folders	1	17	5	24	28	21	19	2	8	8	8	8	29	38	23	13	32	4	8	11	9	39	10	12	39	10	4	4	3	8	4	18	7	48	10	7
Official Google Blog	4	0	14	3	1	9	6	0	3	3	4	0	9	26	3	10	17	3	8	4	0	2	2	2	14	2	1	1	3	5	3	3	3	0	0	1
Autoblog	0	0	0	3	0	0	1	0	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Daily Kos	1	0	1	0	2	6	4	4	0	1	0	0	4	4	3	3	8	4	0	1	1	0	3	1	5	0	0	0	0	0	0	2	0	1	1	1
Google Blogoscoped	2	0	6	1	3	2	0	0	0	1	0	0	3	1	3	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	3
Deadspin	0	0	1	0	0	1	2	0	0	0	0	2	3	0	1	2	1	0	1	0	0	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0
The Dish	0	1	0	1	2	0	1	1	0	0	0	0	0	1	1	1	2	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Go Fug Yourself	0	1	0	2	0	1	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	1	3	0	0	0	0	1	0	2	0	0	0	0
O'Reilly Radar	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
MetaFilter	0	0	0	2	0	0	1	0	0	0	0	1	0	0	2	1	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ReadWrite	0	2	0	4	9	2	13	0	1	7	1	0	5	10	6	4	17	3	3	3	2	0	2	1	21	2	2	2	5	2	2	2	4	4	4	4
Lifehack	0	0	1	1	1	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	4	0	0	3	0	0	2	2	0	0	0	0	0	0	0
Lifehacker	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	2	0	0	0	0
Google Operating System	0	0	0	1	2	2	2	0	0	0	0	1	1	2	2	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	1	0	0	0	0
Kotaku	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
Mashable	0	0	0	4	0	3	1	0	0	0	0	0	1	4	1	2	2	0	1	0	0	0	0	2	1	0	0	0	0	0	2	2	0	0	1	0
WIRED	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TechCrunch	0	0	1	2	1	0	0	0	0	0	1	0	1	1	2	1	1	0	0	3	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0
Gizmodo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
Quick Online Tips	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1
Oilman	2	0	0	1	1	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Gawker	0	0	1	0	2	2	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	3	0	0	1	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
