Blog	used	down	side	read	number	maybe	find	business	question	post	feel	people	any	website	years	name	based	design	your	off	once	his	why	companies	too	makes	show	bit	said	hard	try	already	got	using	less	am	system	real	than	four	want	email	thought	sure	future	best	security	what	different	would	event	another	recent	line	if	good	world	running	problem	big	own	going	so	our	play	keep	do	him	head	hand	book	u	had	pretty	features	re	look	users	data	every	set	full	idea	before	just	us	site	reading	two	watch	night	google	though	bad	talk	thing	because	well	she	year	pay	m	told	old	products	yet	man	or	seems	didn	looking	public	questions	others	such	they	trying	each	far	social	way	last	open	building	stop	until	work	out	getting	took	least	now	october	technology	web	know	probably	did	company	small	around	home	appeared	most	here	these	making	help	internet	week	long	there	found	change	something	doing	through	been	blog	often	go	over	also	need	being	same	reports	government	check	my	facebook	after	ll	live	take	who	easy	everything	me	them	house	ve	simple	things	video	by	then	worked	think	he	even	love	however	ago	should	story	actually	will	few	called	back	much	little	while	says	their	not	times	still	team	money	isn	person	next	content	first	media	life	both	lot	could	use	make	put	news	done	report	tips	app	friday	end	anyone	whole	its	under	which	control	fast	almost	apple	say	place	five	large	into	where	get	her	twitter	matter	always	time	better	million	were	enough	latest	part	ask	several	case	between	really	start	decided	started	simply	family	game	many	according	morning	com	see	made	during	no	very	don	important	let	top	major	past	needs	some	value	together	does	when	group	known	great	day	months	continue	deal	may	like	might	other	since	away	without	today	right	ever	free	list	days	phone	month	went	never	those	d	only
ShoeMoney	1	3	1	1	2	0	6	11	2	2	1	14	2	5	2	0	0	0	30	5	2	7	1	2	2	2	2	1	0	2	0	0	4	0	0	5	0	2	3	3	3	2	2	1	1	2	1	14	4	5	0	0	0	0	14	6	4	2	0	2	3	4	14	2	0	2	8	5	2	2	0	0	7	0	0	13	0	0	0	1	2	0	2	4	7	2	4	0	1	1	0	0	4	0	0	5	1	3	0	3	1	1	1	0	3	0	0	12	0	2	2	1	1	3	0	8	0	1	0	2	4	2	2	3	0	2	6	10	4	2	2	1	0	1	2	7	5	3	2	2	3	1	0	8	9	1	3	1	0	0	2	11	2	1	4	6	3	7	9	2	4	4	3	3	1	0	0	0	1	18	0	2	5	1	3	8	4	0	3	7	0	3	0	4	0	3	0	2	2	8	5	0	2	4	4	3	0	8	3	2	6	4	1	3	1	7	16	0	5	0	9	2	1	2	0	5	3	1	0	9	1	1	2	3	1	1	0	0	2	0	1	0	0	6	0	1	0	0	1	0	5	1	0	0	5	3	10	0	0	2	5	8	1	1	1	1	1	2	4	1	0	1	5	5	1	5	0	0	1	2	0	0	2	4	3	1	2	7	4	2	4	0	1	1	0	8	1	2	0	11	0	5	4	3	0	0	0	3	5	1	3	2	3	0	2	8	4	1	0	0	3	2	2	1	2	0	4
TMZ.com	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	17	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	1	1	2	2	2	0	0	0	1	0	0	0	0	2	0	0	3	1	0	0	2	1	0	0	0	5	0	0	0	1	0	4	0	0	0	0	0	4	0	10	4	0	1	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	1	0	0	2	5	0	0	0	12	1	1	0	1	0	0	0	0	0	0	2	0	0	0	3	2	4	0	1	0	1	2	0	0	0	1	0	0	0	0	1	0	2	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	3	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	2	0	2	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0
WIL WHEATON dot NET	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
O'Reilly Radar	0	0	0	0	0	0	0	2	0	0	1	4	1	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	3	0	1	1	0	1	0	1	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boing Boing	2	2	0	4	1	2	4	0	0	0	1	7	1	0	4	0	3	4	14	2	1	14	2	0	1	1	3	1	5	3	0	1	1	0	1	1	2	3	1	2	4	5	2	3	0	1	3	6	0	5	3	2	0	0	7	1	11	0	1	0	3	1	10	6	2	0	1	4	1	1	2	0	4	0	3	3	0	0	1	0	4	0	2	3	6	2	0	0	4	0	1	0	3	0	0	1	3	0	0	4	4	1	1	6	2	1	3	7	0	3	0	3	0	0	1	13	0	0	0	0	5	3	2	2	0	2	2	9	0	0	0	5	1	0	3	5	1	2	4	1	1	7	0	5	4	5	2	4	2	1	0	8	5	0	2	1	1	6	0	1	1	5	4	3	0	1	0	0	1	2	0	7	5	2	0	9	2	1	4	7	2	1	1	1	11	16	2	0	0	16	2	1	0	0	1	4	1	9	2	4	1	6	2	3	8	13	6	3	3	4	2	2	2	1	0	9	0	1	1	1	4	5	10	4	2	3	2	0	0	0	2	1	0	5	0	4	1	0	2	0	0	2	0	4	7	7	2	2	1	1	1	5	1	0	5	0	0	0	1	0	0	1	4	0	2	2	2	0	18	6	2	0	1	4	3	2	7	3	4	0	1	1	0	0	0	1	8	2	0	6	0	1	2	1	1	2	1	1	7	1	3	1	1	3	4	0	2	2	0	0	3	0	0	2	2	3	3
Search Engine Watch	1	1	0	0	1	0	1	1	2	1	0	0	1	3	0	1	1	1	7	0	0	0	5	0	1	0	1	0	1	0	0	0	0	4	0	0	1	0	1	0	1	1	0	0	0	2	1	4	1	0	0	1	0	0	2	0	0	0	1	1	0	1	3	0	0	1	2	0	0	0	0	0	2	0	0	1	2	2	2	0	0	1	0	0	1	0	7	0	0	42	0	11	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	3	0	0	1	2	0	2	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	8	3	0	3	1	0	2	2	1	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	0	1	0	0	0	4	0	1	6	0	0	0	1	0	1	0	5	3	0	0	0	0	0	0	0	4	1	1	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	0	3	0	1	0	0	1	6	0	0	1	5	0	0	1	0	0	0	0	1	2	0	3	2	0	0	2	1	1	1	1	0	0	1	0	0	0	0	1
@ProBlogger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PerezHilton	0	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	0	4	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	1	0	2	0	0	0	2	0	0	0	2	0	1	3	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	1	0	0	1	1	1	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	2	1	1	0	1	2	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	2	2	0	2	2	0	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	1	1	1	0	0	0	4	0	0	2	0	1	2	0	0	0	0	2	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	0	0	3	0	0	1	0	1	0	1	0	0	2	1	0	0	2	2	0	0	0
blog maverick	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	2	3	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	4	0	0	0	2	0	0	0	0	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	2	2	1	0	0	1	0	3	4	0	0	1	1	0	1	11	0	0	3	0	0	3	1	0	0	0	4	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	3	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	0	5	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	1	0	3	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0
ThinkProgress	1	2	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	20	0	1	1	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	1	0	0	4	0	0	3	0	1	1	0	0	0	2	3	2	1	1	0	0	0	0	0	0	20	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
